Hospital Name,City,State Code,Zip Code,County,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Total Bad Debt Expense,Total Unreimbursed and Uncompensated Care,Total Costs,Combined Outpatient + Inpatient Total Charges,Less Total Operating Expense,Cost To Charge Ratio,Net Patient Revenue,Net Income from Service to Patients,Net Income,Staff Per Bed,Clinical Operating Margin,Net Revenue Per Bed,State Name,Operating Expense Ratio,Size Category
IRWIN COUNTY HOSPITAL,OCILLA,GA,31774,IRWIN,R,STH,1,9,2022-12-01,2023-01-31,97.15,286.0,34.0,2108.0,77.0,64.0,,23092.0,2463462.0,5773515.0,3033643.0,0.426683,1557790.0,-1475853.0,-1248820.0,1.51796875,-0.947401767889125,24340.46875,Georgia,1.947401767889125,Small
LAKE BEHAVIORAL HOSPITAL,WAUKEGAN,IL,60085,LAKE,U,PH,4,5,2022-10-01,2022-12-31,227.95,10311.0,161.0,14812.0,1057.0,161.0,,,8111462.0,23333319.0,8585822.0,,9784298.0,1198476.0,2632879.0,1.41583850931677,0.12248972792938237,60772.03726708075,Illinois,0.8775102720706176,Medium
EVEREST REHABILITATION HOSPITAL BENT,ROGERS,AR,72758-1347,BENTON,U,RH,5,6,2023-01-01,2023-02-28,74.54,895.0,36.0,2124.0,63.0,36.0,,,2795440.0,2982529.0,2447938.0,,1450453.0,-997485.0,-518505.0,2.070555555555556,-0.6877058408648884,40290.36111111111,Arkansas,1.6877058408648884,Small
OCEANS BEHAVIORAL HOSPITAL CORPUS CH,CORPUS CHRISTI,TX,78404,NUECES,U,PH,4,4,2022-11-17,2022-12-31,68.01,1041.0,42.0,1890.0,137.0,42.0,,,1965696.0,1703505.0,3445228.0,,1261761.0,-2183467.0,-2183297.0,1.6192857142857144,-1.7304917492298462,30041.928571428572,Texas,2.7304917492298464,Small
WILLIAMSBURG REGIONAL HOSPITAL,KINGSTREE,SC,29556,WILLIAMSBURG,R,CAH,1,2,2022-10-01,2023-01-16,181.03,713.0,25.0,2725.0,90.0,25.0,1209905.0,654829.0,7503553.0,13594441.0,8676352.0,0.551957,5422988.0,-3253364.0,-3260557.0,7.2412,-0.5999209291999171,216919.52,South Carolina,1.599920929199917,Small
PAM REHAB HOSP OF GEORGETOWN,GEORGETOWN,DE,19947,SUSSEX,U,RH,5,5,2023-01-27,2023-04-30,81.59,1713.0,34.0,3196.0,187.0,34.0,,,3683530.0,5735240.0,3855107.0,,4011155.0,156048.0,156048.0,2.3997058823529414,0.038903507842504216,117975.14705882352,Delaware,0.9610964921574958,Small
SAN CARLOS APACHE HEALTHCARE CORP,PERIDOT,AZ,85542,GRAHAM,R,STH,1,7,2022-10-01,2023-01-09,820.0,483.0,12.0,1212.0,136.0,12.0,,,22963832.0,216023.0,33070576.0,,,-33070576.0,-33070576.0,68.33333333333333,,,Arizona,,Small
BACHARACH INSTITUTE FOR REHABILITATI,POMONA,NJ,08240-0723,ATLANTIC,U,RH,5,2,2023-01-01,2023-03-30,52.38,737.0,80.0,7120.0,54.0,80.0,,,8333525.0,8469305.0,8364045.0,,2744837.0,-5619208.0,-4070092.0,0.65475,-2.047191873324354,34310.4625,New Jersey,3.047191873324354,Medium
EVEREST REHABILITATION HOSPITAL LONG,LONGVIEW,TX,75605,GREGG,U,RH,5,6,2023-01-01,2023-02-28,71.91,1565.0,36.0,2124.0,125.0,36.0,,,3293256.0,5071213.0,3026991.0,,2411560.0,-615431.0,-614260.0,1.9974999999999998,-0.25520036822637626,66987.77777777778,Texas,1.2552003682263764,Small
SSH - SPRINGFIELD INC.,SPRINGFIELD,MO,65804,GREENE,U,LTCH,2,4,2022-11-01,2023-01-31,43.2,3660.0,44.0,4048.0,128.0,44.0,,,6600654.0,37283793.0,6624999.0,,6493196.0,-131803.0,80850.0,0.9818181818181819,-0.020298632599416375,147572.63636363635,Missouri,1.0202986325994163,Small
EAST VALLEY ER AND HOSPITAL,GILBERT,AZ,85295,MARICOPA,U,STH,1,4,2022-10-14,2023-01-31,59.99,151.0,14.0,1540.0,70.0,14.0,,,3575513.0,19198646.0,5141619.0,0.186238,1699864.0,-3441755.0,-3438200.0,4.285,-2.024723742605291,121418.85714285714,Arizona,3.024723742605291,Small
ST. LUKES HOSPITAL,MAUMEE,OH,43537-,LUCAS,R,STH,1,2,2022-10-01,2023-05-08,765.03,10173.0,83.0,18260.0,2316.0,83.0,,10969737.0,91146379.0,226568542.0,110897542.0,0.402291,62879043.0,-48018499.0,-44624987.0,9.21722891566265,-0.7636645964856685,757578.8313253012,Ohio,1.7636645964856685,Medium
SOUTHWEST GENERAL HOSPITAL,SAN ANTONIO,TX,78224,BEXAR,U,STH,1,4,2022-10-01,2023-04-30,632.4,24539.0,193.0,40916.0,4534.0,209.0,6448735.0,8484683.0,53955049.0,366562378.0,81435922.0,0.147192,66113127.0,-15322795.0,-9315920.0,3.0258373205741624,-0.23176630262852338,316330.75119617226,Texas,1.2317663026285233,Medium
EVEREST REHABILITATION HOSPITAL TEMP,TEMPLE,TX,76504,,U,RH,5,6,2023-01-01,2023-02-28,88.15,1310.0,36.0,2124.0,103.0,36.0,,,3586473.0,4283768.0,2871010.0,,2422521.0,-448489.0,-447629.0,2.448611111111111,-0.1851331732521617,67292.25,Texas,1.1851331732521617,Small
REHABILITATION HOSPITAL OF WESTERN W,EAU CLAIRE,WI,54701-6122,EAU CLAIRE,U,RH,5,5,2023-03-29,2023-06-30,89.78,1251.0,36.0,3384.0,103.0,36.0,,,3162377.0,3537573.0,3524215.0,,2003440.0,-1520775.0,-1520775.0,2.493888888888889,-0.7590818791678313,55651.11111111111,Wisconsin,1.7590818791678313,Small
EVEREST REHABILITATION HOSPITAL NORT,LIBERTY TOWNSHIP,OH,45044,BUTLER,U,RH,5,6,2023-01-01,2023-02-28,54.37,608.0,36.0,2124.0,53.0,36.0,,,3399352.0,1707395.0,2126725.0,,798666.0,-1328059.0,-1326976.0,1.5102777777777776,-1.662846546616483,22185.166666666668,Ohio,2.662846546616483,Small
COREWELL HEALTH LUDINGTON HOSPITAL,LUDINGTON,MI,49431,MASON,R,STH,1,2,2023-01-01,2023-06-30,309.08,3648.0,39.0,7059.0,928.0,39.0,1920055.0,2333686.0,48386897.0,144664137.0,54443893.0,0.334477,53406311.0,-1037582.0,129052.0,7.925128205128205,-0.019428078453125136,1369392.5897435897,Michigan,1.019428078453125,Small
UNIVERSITY HEALTH SERVICES  INC.,AUGUSTA,GA,30901-2612,RICHMOND,U,STH,1,8,2023-01-01,2023-06-30,2286.19,60426.0,482.0,86892.0,11095.0,482.0,14204996.0,15506937.0,229843283.0,921120225.0,252777987.0,0.249526,220118681.0,-32659306.0,-7173283.0,4.743132780082988,-0.1483713506351603,456677.7614107884,Georgia,1.1483713506351603,Large
LAKELAND COMMUNITY HOSP WATERVLIET,WATERVLIET,MI,49098,BERRIEN,R,STH,1,2,2023-01-01,2023-06-30,123.1,11.0,26.0,4706.0,7.0,44.0,1321355.0,1775144.0,20840565.0,64459217.0,22778597.0,0.323314,23738356.0,959759.0,1114666.0,2.7977272727272724,0.04043072738482817,539508.0909090909,Michigan,0.9595692726151719,Small
COREWELL HEALTH BIG RAPIDS,BIG RAPIDS,MI,49307,MECOSTA,R,STH,1,2,2023-01-01,2023-06-30,317.35,3347.0,49.0,8869.0,1060.0,49.0,2644821.0,2248062.0,36025807.0,120302645.0,41205541.0,0.29946,43815822.0,2610281.0,3333610.0,6.476530612244899,0.059573936556525174,894200.4489795918,Michigan,0.9404260634434748,Small
WATAUGA MEDICAL CENTER,BOONE,NC,28607-,WATAUGA,R,STH,1,9,2022-10-01,2023-06-30,672.51,12976.0,121.0,28613.0,2973.0,121.0,11504951.0,6433031.0,116331469.0,404982072.0,144274142.0,0.287251,131671678.0,-12602464.0,-9653967.0,5.557933884297521,-0.09571127361193042,1088195.685950413,North Carolina,1.0957112736119303,Medium
CHARLES A. CANNON MEMORIAL HOSPITAL,LINVILLE,NC,28646-,AVERY,R,CAH,1,2,2022-10-01,2023-06-30,131.06,1213.0,23.0,6279.0,217.0,23.0,2103395.0,971333.0,16859911.0,41055261.0,19835241.0,0.410664,15969403.0,-3865838.0,-1392575.0,5.6982608695652175,-0.2420778034094324,694321.8695652174,North Carolina,1.2420778034094324,Small
EAST TENNESSEE BEHAVIORAL HEALTH,KNOXVILLE,TN,37909,KNOX,U,PH,4,4,2022-11-15,2023-06-30,77.44,5769.0,90.0,20520.0,927.0,90.0,,,12599548.0,14639499.0,13113409.0,,4498551.0,-8614858.0,-8614042.0,0.8604444444444445,-1.9150295283970327,49983.9,Tennessee,2.915029528397033,Medium
SUMMIT MEDICAL CENTER  LLC,CASPER,WY,82609,NATRONA,U,STH,1,4,2023-01-01,2023-06-30,43.63,91.0,16.0,2896.0,53.0,16.0,520926.0,962985.0,14105393.0,38239776.0,14210136.0,0.368867,14237491.0,27355.0,500790.0,2.726875,0.0019213357184914113,889843.1875,Wyoming,0.9980786642815086,Small
COREWELL HEALTH ZEELAND,ZEELAND,MI,49464,OTTAWA,U,STH,1,2,2023-01-01,2023-06-30,274.2,3676.0,55.0,9955.0,1267.0,55.0,2670612.0,1733743.0,34814901.0,141433350.0,43320722.0,0.246158,49604814.0,6284092.0,7430545.0,4.985454545454545,0.12668310781288283,901905.7090909091,Michigan,0.8733168921871172,Small
EASTERN NIAGARA HOSPITAL,LOCKPORT,NY,14094,NIAGARA,U,STH,1,2,2023-01-01,2023-06-17,250.1,2069.0,109.0,18312.0,196.0,109.0,456615.0,2524339.0,14210210.0,33984068.0,16591069.0,0.418143,9156862.0,-7434207.0,935398.0,2.2944954128440367,-0.8118727791245516,84007.90825688074,New York,1.8118727791245517,Medium
CARONDELET ST. MARYS HOSPITAL,TUCSON,AZ,85745-,PIMA,R,STH,1,4,2022-10-01,2023-06-30,648.72,30889.0,357.0,97461.0,6066.0,408.0,11817707.0,5615557.0,132972625.0,1672772115.0,147359468.0,0.079492,138586064.0,-8773404.0,-8495507.0,1.59,-0.06330653852756797,339671.7254901961,Arizona,1.063306538527568,Large
CARONDELET ST. JOSEPH HOSPITAL,TUCSON,AZ,85732-,PIMA,R,STH,1,4,2022-10-01,2023-06-30,820.36,40819.0,390.0,106441.0,8397.0,425.0,15011728.0,3137955.0,176656637.0,2063708988.0,202906452.0,0.085602,214872409.0,11965957.0,12314674.0,1.9302588235294118,0.0556886621958057,505582.1388235294,Arizona,0.9443113378041943,Large
EDWARD W. SPARROW HOSPITAL,LANSING,MI,48912-1811,INGHAM,U,STH,1,2,2023-01-01,2023-06-30,4376.38,60970.0,441.0,78381.0,11408.0,556.0,11693860.0,11951908.0,404300127.0,1716183444.0,560468586.0,0.235581,502650273.0,-57818313.0,-6898085.0,7.871187050359713,-0.11502692051656362,904047.2535971223,Michigan,1.1150269205165637,Large
CARSON CITY HOSPITAL,CARSON CITY,MI,48811,MONTCALM,U,STH,1,2,2023-01-01,2023-06-30,188.83,715.0,48.0,8688.0,222.0,48.0,699977.0,2209699.0,21691082.0,63217305.0,25391051.0,0.343119,21966923.0,-3424128.0,-2338563.0,3.9339583333333334,-0.15587654219937858,457644.2291666667,Michigan,1.1558765421993786,Small
LANCASTER MEDICAL CENTER,LANCASTER,PA,17601,,U,STH,1,2,2022-12-06,2023-06-30,293.26,9558.0,100.0,20700.0,2100.0,100.0,472071.0,3230501.0,103337856.0,251951018.0,105533965.0,0.410151,64356763.0,-41177202.0,-40603387.0,2.9326,-0.639827114984015,643567.63,Pennsylvania,1.639827114984015,Medium
SALT LAKE REGIONAL MEDICAL CENTER,SALT LAKE CITY,UT,84102-1507,SALT LAKE,U,STH,1,2,2023-05-01,2023-06-30,61.12,1024.0,102.0,6222.0,295.0,138.0,,1543492.0,22062966.0,48351769.0,16016236.0,0.456301,17293885.0,1277649.0,1395063.0,0.4428985507246377,0.0738786571091458,125318.00724637682,Utah,0.9261213428908542,Medium
IROQUOIS MEMORIAL HOSPITAL,WATSEKA,IL,60970,,R,STH,1,2,2022-10-01,2023-07-16,150.9,774.0,25.0,7225.0,330.0,61.0,1639808.0,6460265.0,24397798.0,60119957.0,29050249.0,0.405819,25392275.0,-3657974.0,2032349.0,2.4737704918032786,-0.14405853748827152,416266.8032786885,Illinois,1.1440585374882715,Small
WENATCHEE VALLEY HOSPITAL,WENATCHEE,WA,98807,CHELAN,U,STH,1,2,2023-01-01,2023-06-30,367.06,891.0,11.0,1991.0,155.0,20.0,871918.0,5975674.0,96010562.0,198681754.0,145187643.0,0.483238,146849318.0,1661675.0,5101730.0,18.353,0.011315510501723951,7342465.9,Washington,0.988684489498276,Small
DELTA HEALTH-HIGHLAND HILLS,SENATOBIA,MS,38668,TATE,U,STH,1,9,2022-10-01,2023-04-30,67.22,552.0,15.0,3180.0,172.0,15.0,,,6044508.0,18139969.0,7179163.0,0.333215,4969569.0,-2209594.0,-1648188.0,4.481333333333334,-0.44462487591982325,331304.6,Mississippi,1.4446248759198232,Small
DOROTHEA DIX BEHAVIORAL HEALTH,LINVILLE,NC,28646,AVERY,R,PH,4,2,2022-10-01,2023-06-30,49.11,4694.0,37.0,10101.0,600.0,37.0,,,7308599.0,10432320.0,7895371.0,,2011199.0,-5884172.0,-5744949.0,1.3272972972972972,-2.925703523122277,54356.72972972973,North Carolina,3.925703523122277,Small
PLEASANT VALLEY HOSPITAL,POINT PLEASANT,WV,25550-,MASON,R,STH,1,2,2022-10-01,2023-09-30,309.84,6206.0,43.0,15695.0,835.0,49.0,1773259.0,3149481.0,51918032.0,161022905.0,59446602.0,0.322426,42704455.0,-16742147.0,-4067537.0,6.323265306122448,-0.3920468485079601,871519.4897959183,West Virginia,1.39204684850796,Small
SACRAMENTO REHABILITATION HOSPITAL L,SACRAMENTO,CA,95834-2123,SACRAMENTO,U,RH,5,4,2023-03-25,2023-04-30,82.9,490.0,50.0,1850.0,26.0,50.0,,,1961751.0,1060419.0,1877128.0,,1013427.0,-863701.0,-443735.0,1.6580000000000001,-0.8522577353869593,20268.54,California,1.8522577353869594,Small
PATIENTS CHOICE MED CNT-SMITH CNTY,RALEIGH,MS,39153,SMITH,R,STH,1,4,2023-01-01,2023-07-02,6.02,,19.0,6935.0,8.0,29.0,,,758432.0,115259.0,896444.0,6.580241,99466.0,-796978.0,-727214.0,0.20758620689655172,-8.012567108358635,3429.862068965517,Mississippi,9.012567108358635,Small
REUNION REHABILITATION HOSPITAL PEOR,PEORIA,AZ,85381,MARICOPA,U,RH,5,6,2023-04-15,2023-07-31,,1103.0,40.0,4320.0,103.0,40.0,,,3218445.0,4249355.0,3395824.0,,1954373.0,-1441451.0,-1441453.0,,-0.737551634206981,48859.325,Arizona,1.737551634206981,Small
NESHOBA COUNTY GENERAL HOSPITAL,PHILADELPHIA,MS,39350,NESHOBA,R,STH,1,9,2022-10-01,2023-09-30,290.47,2355.0,38.0,13870.0,724.0,193.0,4745367.0,2927142.0,47390359.0,89118448.0,53762594.0,0.531768,49696328.0,-4066266.0,-1257554.0,1.5050259067357514,-0.08182226260258102,257493.9274611399,Mississippi,1.081822262602581,Medium
USC NORRIS CANCER HOSPITAL,LOS ANGELES,CA,90033-,LOS ANGELES,U,STH,3,2,2022-10-01,2023-09-30,752.21,14527.0,60.0,21900.0,1491.0,60.0,,,474961345.0,1824806079.0,451535205.0,,523064492.0,71529287.0,138344523.0,12.536833333333334,0.136750416237392,8717741.533333333,California,0.863249583762608,Small
MARY S HARPER GERIATRIC PSYCH CEN,TUSCALOOSA,AL,35402-,TUSCALOOSA,U,PH,4,10,2022-10-01,2023-09-30,335.29,23518.0,126.0,45990.0,69.0,126.0,,,33629149.0,26754082.0,28434668.0,,26754082.0,-1680586.0,-1635804.0,2.661031746031746,-0.06281605924658525,212333.9841269841,Alabama,1.0628160592465852,Medium
NORTHSIDE HOSPITAL,ATLANTA,GA,30342-,FULTON,U,STH,1,2,2022-10-01,2023-09-30,9885.66,227906.0,673.0,245645.0,34079.0,673.0,97408613.0,149261371.0,1988302389.0,10156640408.0,3042378132.0,0.195764,2794552358.0,-247825774.0,306972377.0,14.68894502228826,-0.08868174299563436,4152380.918276374,Georgia,1.0886817429956344,Large
MADISON MEMORIAL HOSPITAL,REXBURG,ID,83440-0310,MADISON,R,STH,1,9,2022-10-01,2023-09-30,535.48,7711.0,53.0,19345.0,1942.0,65.0,4497204.0,2108648.0,80739247.0,183306545.0,96252693.0,0.44046,97998560.0,1745867.0,6807961.0,8.238153846153846,0.01781523116258035,1507670.1538461538,Idaho,0.9821847688374197,Small
BLACKWELL REGIONAL HOSPITAL,BLACKWELL,OK,74631,KAY,R,STH,1,13,2023-01-01,2023-06-30,30.28,408.0,34.0,6154.0,127.0,34.0,1033296.0,1213648.0,7016745.0,30399657.0,4813715.0,0.230817,3523301.0,-1290414.0,-1263923.0,0.8905882352941177,-0.3662514216071803,103626.5,Oklahoma,1.3662514216071804,Small
GREEN BAY REHABILITATION HOSPITAL,GREEN BAY,WI,54311,BROWN,U,RH,5,4,2023-05-05,2023-07-31,66.24,1171.0,40.0,3520.0,76.0,40.0,,,3210785.0,2597332.0,3176457.0,,1802679.0,-1373778.0,-1370155.0,1.656,-0.7620757772182402,45066.975,Wisconsin,1.7620757772182403,Small
PERRY MEMORIAL HOSPITAL,PERRY,OK,73077,NOBLE,R,STH,1,13,2023-01-01,2023-03-31,11.65,56.0,26.0,2340.0,20.0,26.0,366283.0,625112.0,2770339.0,7994253.0,2292296.0,0.346541,1308648.0,-983648.0,-799770.0,0.4480769230769231,-0.7516520867337894,50332.61538461538,Oklahoma,1.7516520867337895,Small
GREENE COUNTY HOSPITAL,EUTAW,AL,35462,GREENE,U,STH,1,9,2022-10-01,2023-09-30,53.11,1878.0,20.0,7300.0,281.0,92.0,36173.0,1896043.0,11171269.0,12012326.0,12099826.0,0.929984,10012454.0,-2087372.0,667258.0,0.5772826086956522,-0.20847756204423012,108831.02173913043,Alabama,1.20847756204423,Medium
JASPER GENERAL HOSPITAL,BAY SPRINGS,MS,39422,JASPER,R,STH,1,9,2022-10-01,2023-09-30,82.64,1709.0,20.0,7300.0,4.0,130.0,,203982.0,16554477.0,19106383.0,17884644.0,0.866437,15501238.0,-2383406.0,-1044007.0,0.6356923076923077,-0.15375584840385007,119240.2923076923,Mississippi,1.1537558484038501,Medium
UNIVERSITY HOSPITAL MCDUFFIE,THOMSON,GA,30824,,U,STH,1,8,2023-01-01,2023-06-30,114.79,2045.0,25.0,4525.0,449.0,25.0,1992547.0,1260605.0,12073865.0,54770348.0,12355781.0,0.220445,15137104.0,2781323.0,3093404.0,4.591600000000001,0.18374208170862802,605484.16,Georgia,0.816257918291372,Small
HAMPTON REGIONAL MEDICAL CENTER,VARNVILLE,SC,29944,HAMPTON,R,STH,1,2,2022-10-01,2023-09-30,190.19,2366.0,32.0,11680.0,551.0,32.0,3356015.0,2124884.0,25481056.0,75740757.0,29648849.0,0.336425,27692299.0,-1956550.0,144039.0,5.9434375,-0.07065321662170411,865384.34375,South Carolina,1.0706532166217042,Small
OKLAHOMA CITY REHABILITATION HOSPITA,OKLAHOMA CITY,OK,73114,OKLAHOMA,U,RH,5,6,2022-11-29,2023-08-31,,5912.0,40.0,11040.0,538.0,40.0,,,10046589.0,19988211.0,10535492.0,,10711441.0,175949.0,192558.0,,0.016426267950315928,267786.025,Oklahoma,0.9835737320496841,Small
OSF SAINT ANTHONYS HEALTH CENTER,ALTON,IL,62002-4568,MADISON,U,STH,1,1,2022-10-01,2023-09-30,365.09,8420.0,49.0,17885.0,2371.0,49.0,3532916.0,9755924.0,83727304.0,418776842.0,99055598.0,0.199933,94685101.0,-4370497.0,-3690141.0,7.450816326530612,-0.04615823349018765,1932349.0,Illinois,1.0461582334901876,Small
TULSA REHABILITATION HOSPITAL,TULSA,OK,74113,TULSA,U,RH,5,6,2022-10-18,2023-08-31,,7867.0,40.0,12720.0,688.0,40.0,,,12979224.0,26281633.0,13711769.0,,12801077.0,-910692.0,-901789.0,,-0.07114182658224773,320026.925,Oklahoma,1.0711418265822477,Small
BEAUFORT MEMORIAL HOSPITAL,BEAUFORT,SC,29902-,BEAUFORT,R,STH,1,9,2022-10-01,2023-09-30,1395.62,32047.0,167.0,60955.0,7876.0,195.0,26963657.0,8069934.0,208001086.0,924317893.0,303218068.0,0.225032,288344612.0,-14873456.0,912406.0,7.1570256410256405,-0.051582222732845795,1478690.3179487179,South Carolina,1.0515822227328457,Medium
GRAHAM REGIONAL MEDICAL CENTER,GRAHAM,TX,76450-,YOUNG,R,STH,1,11,2022-10-01,2023-08-03,114.31,378.0,25.0,7675.0,130.0,25.0,5144562.0,2496567.0,18447928.0,61704020.0,22180980.0,0.298974,17624607.0,-4556373.0,2595405.0,4.5724,-0.25852338154263527,704984.28,Texas,1.2585233815426353,Small
CARONDELET HOLY CROSS HOSPITAL,NOGALES,AZ,85621-,SANTA CRUZ,R,CAH,1,4,2022-10-01,2023-06-30,117.3,2257.0,25.0,6825.0,707.0,25.0,5538387.0,7408768.0,18571392.0,193602492.0,23397399.0,0.095925,26564303.0,3166904.0,3715369.0,4.692,0.1192165290389889,1062572.12,Arizona,0.8807834709610111,Small
THE GRIFFIN HOSPITAL,DERBY,CT,06418-,NEW HAVEN,R,STH,1,2,2022-10-01,2023-09-30,1317.67,30330.0,101.0,41233.0,6882.0,119.0,1770489.0,12713717.0,200394713.0,1062491612.0,239628665.0,0.188608,228355124.0,-11273541.0,14398616.0,11.072857142857144,-0.0493684608539811,1918950.6218487395,Connecticut,1.049368460853981,Medium
VOYAGES OF SUGAR LAND BH,SUGAR LAND,TX,77498,FORT BEND,U,PH,4,4,2023-02-01,2023-06-30,69.03,2865.0,60.0,9000.0,234.0,60.0,,,4292251.0,10023534.0,4388038.0,,1574750.0,-2813288.0,-2812601.0,1.1505,-1.786498174313383,26245.833333333332,Texas,2.786498174313383,Small
JEFFERSON COUNTY HOSPITAL,FAYETTE,MS,39069-0577,JEFFERSON,R,STH,1,9,2022-10-01,2023-05-31,52.54,620.0,12.0,2916.0,83.0,30.0,1030017.0,579339.0,4416862.0,12534324.0,4979546.0,0.352381,4940092.0,-39454.0,2270764.0,1.7513333333333334,-0.007986490939844845,164669.73333333334,Mississippi,1.0079864909398448,Small
THE MEDICAL CENTER OF ALBANY,ALBANY,KY,42602,CLINTON,R,STH,1,2,2023-04-01,2023-09-07,38.54,1237.0,20.0,3200.0,194.0,20.0,420960.0,200960.0,6525049.0,23510828.0,7614612.0,0.277534,7049190.0,-565422.0,-399186.0,1.927,-0.08021091785013597,352459.5,Kentucky,1.080210917850136,Small
FANNIN REGIONAL HOSPITAL,BLUE RIDGE,GA,30513-6248,FANNIN,R,STH,1,4,2023-01-01,2023-06-30,61.29,609.0,50.0,8700.0,210.0,50.0,3290789.0,1659862.0,15097965.0,87358408.0,15770001.0,0.172828,12548970.0,-3221031.0,-2966036.0,1.2258,-0.2566769224884592,250979.4,Georgia,1.2566769224884593,Small
NORTH CANYON MEDICAL CENTER,GOODING,ID,83330-,GOODING,R,CAH,1,2,2022-10-01,2023-09-30,271.34,1251.0,16.0,5840.0,338.0,16.0,1508306.0,1011607.0,46820242.0,87615896.0,58833704.0,0.534381,62088832.0,3255128.0,3734375.0,16.95875,0.05242694853721842,3880552.0,Idaho,0.9475730514627816,Small
SOUTHWEST MS REGIONAL MED CENTER,MCCOMB,MS,39648,PIKE,R,STH,1,8,2022-10-01,2023-09-30,824.95,18522.0,97.0,35405.0,3907.0,97.0,15651886.0,6347282.0,119761208.0,418609977.0,156778095.0,0.286093,131962576.0,-24815519.0,-9930379.0,8.504639175257733,-0.1880496709915696,1360438.9278350514,Mississippi,1.1880496709915696,Medium
TWIN COUNTY REGIONAL HOSPITAL,GALAX,VA,24333,CARROLL,R,STH,1,4,2022-10-01,2023-09-30,310.1,8178.0,141.0,51465.0,2072.0,141.0,3311824.0,915084.0,37174621.0,293359331.0,64489758.0,0.12672,62029935.0,-2459823.0,-2021424.0,2.199290780141844,-0.03965541798488101,439928.6170212766,Virginia,1.039655417984881,Medium
ENCOMPASS HEALTH REHABILITATION HOSP,KATY,TX,77494,HARRIS,U,RH,5,4,2022-10-01,2023-09-30,160.12,16475.0,60.0,21900.0,1356.0,60.0,,,24898495.0,45105217.0,28292061.0,,31172814.0,2880753.0,4197174.0,2.6686666666666667,0.09241235006887732,519546.9,Texas,0.9075876499311227,Small
ENCOMPASS HEALTH REHABILITATION HOSP,SIOUX FALLS,SD,57108,MINNEHAHA,U,RH,5,4,2022-10-01,2023-09-30,97.73,11642.0,40.0,14600.0,801.0,40.0,,,16215907.0,33156272.0,17129467.0,,17111445.0,-18022.0,-16945.0,2.44325,-0.0010532132148979821,427786.125,South Dakota,1.001053213214898,Small
COMMUNITY HOSPITAL INC.,TALLASSEE,AL,36078,ELMORE,U,STH,1,2,2022-10-01,2023-09-30,125.84,2416.0,37.0,13505.0,470.0,47.0,1552325.0,1043652.0,16080613.0,26703171.0,20291767.0,0.602199,16272299.0,-4019468.0,-2860889.0,2.677446808510638,-0.24701291440133935,346219.12765957444,Alabama,1.2470129144013393,Small
REHABILITATION HOSPITAL OF THE PACIF,HONOLULU,HI,96817-2421,,U,RH,5,2,2022-10-01,2023-09-30,293.0,20767.0,82.0,29930.0,1339.0,82.0,,,43404828.0,81042340.0,49973893.0,,46039670.0,-3934223.0,1698889.0,3.573170731707317,-0.08545289312455975,561459.3902439025,Hawaii,1.0854528931245597,Medium
OTTAWA REGIONAL HOSPITAL & HEALTHCAR,OTTAWA,IL,61350,LA SALLE,R,STH,1,1,2022-10-01,2023-09-30,561.08,15696.0,89.0,32485.0,3828.0,89.0,4679802.0,9914860.0,116641890.0,595014034.0,139182630.0,0.196032,185894470.0,46711840.0,56635183.0,6.304269662921349,0.2512814932041819,2088701.9101123596,Illinois,0.7487185067958181,Medium
GLACIAL RIDGE HOSPITAL,GLENWOOD,MN,56334-,POPE,R,CAH,1,11,2022-10-01,2023-09-30,232.47,2462.0,19.0,6935.0,433.0,19.0,280174.0,558096.0,45760605.0,81280613.0,52968044.0,0.562995,47354876.0,-5613168.0,-394956.0,12.235263157894737,-0.11853410829330437,2492361.8947368423,Minnesota,1.1185341082933045,Small
GIFFORD MEDICAL CENTER,RANDOLPH,VT,05060-,ORANGE,R,CAH,1,2,2022-10-01,2023-09-30,309.9,3582.0,25.0,9125.0,815.0,25.0,2149281.0,8253563.0,50145369.0,107717263.0,74005770.0,0.465528,50848411.0,-23157359.0,-2511825.0,12.395999999999999,-0.4554195213691142,2033936.44,Vermont,1.4554195213691141,Small
ABBEVILLE AREA MEDICAL CENTER,ABBEVILLE,SC,29620,ABBEVILLE,R,CAH,1,9,2022-10-01,2023-09-30,150.91,3330.0,25.0,9125.0,492.0,25.0,6831654.0,3382898.0,45553078.0,90800360.0,52754220.0,0.501684,41364324.0,-11389896.0,-4166743.0,6.0363999999999995,-0.27535554551792024,1654572.96,South Carolina,1.2753555455179202,Small
WINCHESTER MEDICAL CENTER,WINCHESTER,VA,22604-2540,FREDERICK,U,STH,1,2,2022-10-01,2023-09-30,2360.84,116362.0,455.0,166075.0,25080.0,495.0,30261848.0,45333706.0,629691659.0,1674358540.0,772222324.0,0.376079,753297567.0,-18924757.0,53631681.0,4.769373737373738,-0.025122551603833868,1521813.2666666666,Virginia,1.0251225516038338,Large
