Hospital Name,City,State Code,Zip Code,County,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Total Bad Debt Expense,Total Unreimbursed and Uncompensated Care,Total Costs,Combined Outpatient + Inpatient Total Charges,Less Total Operating Expense,Cost To Charge Ratio,Net Patient Revenue,Net Income from Service to Patients,Net Income,Staff Per Bed,Clinical Operating Margin,Net Revenue Per Bed,State Name,Operating Expense Ratio,Size Category
ST. VINCENTS BLOUNT,ONEONTA,AL,35121-,BLOUNT,U,CAH,1,1,2023-07-01,2024-06-30,116.67,4143.0,25.0,9150.0,781.0,25.0,1616634.0,2535238.0,29228171.0,84300647.0,36731076.0,0.346713,26129617.0,-10601459.0,-4542177.0,4.6668,-0.4057257708752486,1045184.68,Alabama,1.4057257708752486,Small
ENCOMPASS HEALTH REHABILITATION HOSP,FAYETTEVILLE,AR,72703,WASHINGTON,U,RH,5,5,2023-01-01,2023-12-31,176.79,22253.0,80.0,29200.0,1788.0,80.0,,,24598263.0,51230179.0,25763321.0,,35456057.0,9692736.0,9721459.0,2.209875,0.2733732067274147,443200.7125,Arkansas,0.7266267932725853,Medium
KEEFE MEMORIAL HOSPITAL,CHEYENNE WELLS,CO,80810,CHEYENNE,R,CAH,1,9,2023-01-01,2023-12-31,52.14,558.0,11.0,4015.0,39.0,11.0,239039.0,340931.0,12463576.0,10734516.0,13605583.0,1.161075,9595047.0,-4010536.0,-1277948.0,4.74,-0.41797981812908264,872277.0,Colorado,1.4179798181290826,Small
ASCENSION SACRED HEART BAY,PANAMA CITY,FL,32401,,U,STH,1,1,2023-07-01,2024-06-30,739.94,43208.0,144.0,52704.0,8294.0,144.0,17937545.0,23365070.0,193844813.0,1360692984.0,223342382.0,0.14246,200407234.0,-22935148.0,-19957380.0,5.138472222222223,-0.11444271517663879,1391716.9027777778,Florida,1.1144427151766387,Medium
TOURO INFIRMARY,NEW ORLEANS,LA,70115-3515,,U,STH,1,2,2023-01-01,2023-12-31,1477.34,45236.0,270.0,98550.0,7811.0,339.0,4920582.0,4620761.0,319976588.0,1957966133.0,426033343.0,0.163423,367765544.0,-58267799.0,-26851952.0,4.357935103244838,-0.158437352140852,1084854.1120943953,Louisiana,1.158437352140852,Large
HAVERHILL PAVILION,HAVERHILL,MA,01832,ARCHER,U,PH,4,4,2023-01-01,2023-12-31,176.4,24459.0,71.0,25915.0,1354.0,71.0,,,19955636.0,34242601.0,22844955.0,,24608678.0,1763723.0,3091876.0,2.4845070422535214,0.07167077402532554,346601.0985915493,Massachusetts,0.9283292259746745,Small
TRACE REGIONAL HOSPITAL,HOUSTON,MS,38851-,CHICKASAW,R,STH,1,4,2023-07-01,2024-06-30,49.55,,24.0,8784.0,,108.0,845459.0,1056417.0,11823614.0,15291132.0,13485399.0,0.773233,11320921.0,-2164478.0,-2143067.0,0.45879629629629626,-0.19119274836384778,104823.3425925926,Mississippi,1.1911927483638478,Medium
CHESHIRE MEDICAL CENTER,KEENE,NH,03431-,CHESHIRE,R,STH,1,2,2023-07-01,2024-06-30,737.46,18890.0,86.0,31476.0,3559.0,110.0,5469745.0,10823703.0,229690266.0,807036122.0,310540817.0,0.28461,260868000.0,-49672817.0,-7935000.0,6.7041818181818185,-0.19041360764831256,2371527.272727273,New Hampshire,1.1904136076483125,Medium
CATHOLIC MEDICAL CENTER,MANCHESTER,NH,03102,HILLSBOROUGH,U,STH,1,2,2022-10-01,2023-09-30,2135.68,63679.0,262.0,95630.0,12407.0,262.0,12967874.0,13191896.0,468829836.0,1618653952.0,516926781.0,0.289642,480789746.0,-36137035.0,-2333441.0,8.151450381679389,-0.07516182551863325,1835075.3664122138,New Hampshire,1.0751618255186333,Large
CREEDMOOR P.C.,QUEENS VILLAGE,NY,11427-2199,QUEENS,U,PH,4,10,2023-04-01,2024-03-31,1214.08,111446.0,349.0,127734.0,186.0,349.0,,,175125972.0,12563518.0,123743884.0,,,-123743884.0,-123743884.0,3.4787392550143266,,,New York,,Large
